Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
2022,Pioneer Preparatory School,90140,Pioneer Preparatory - A Challenge Foundation,90141,*,48,40,50,61,52,72,68,*,*,*,*,*,*,391
2022,"Imagine Superstition Middle, Inc.",90160,Imagine Superstition Middle,90161,*,*,*,*,*,*,*,16,51,60,*,*,*,*,127
2022,"Imagine Avondale Middle, Inc.",90162,Imagine Avondale Middle,90163,*,*,*,*,*,*,*,81,91,78,*,*,*,*,250
2022,"Morrison Education Group, Inc.",90192,Sun Valley Academy,90193,*,50,79,53,65,75,59,63,49,51,*,*,*,*,544
2022,"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,*,38,35,32,21,12,15,*,13,24,*,*,*,*,199
2022,"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,*,70,49,61,55,56,61,60,58,56,*,*,*,*,526
2022,Educational Options Foundation,90201,EdOptions Preparatory Academy,90202,*,*,*,*,*,*,*,*,*,*,*,18,11,45,79
2022,Educational Options Foundation,90201,EdOptions HS Learning Center,90844,*,*,*,*,*,*,*,*,*,*,26,56,88,288,458
2022,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,*,*,*,*,27,37,25,26,*,*,*,*,*,*,115
2022,Research Based Education Corporation,90275,Paulden Community School,90276,*,14,13,12,13,*,14,*,*,*,*,*,*,*,100
2022,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan,90284,Sonoran Science Academy - Davis Monthan,90285,*,*,*,*,*,*,*,*,22,24,36,30,19,14,155
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy,90772,*,92,98,85,108,83,88,*,*,*,*,*,*,*,554
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy Goodyear,91205,*,102,111,107,114,107,97,*,*,*,*,*,*,*,638
2022,"The Odyssey Preparatory Academy, Inc.",90287,Odyssey Institute for Advanced and International Studies,91825,*,*,*,*,*,*,*,301,298,364,254,263,172,144,1796
2022,"The Odyssey Preparatory Academy, Inc.",90287,The Odyssey Preparatory Academy - Sienna Hills,92233,*,80,81,80,86,82,91,*,*,*,*,*,*,*,500
2022,"Vector School District, Inc.",90317,Vector Prep and Arts Academy,90318,*,20,33,26,30,32,25,28,*,*,*,*,*,*,194
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",90327,Learning Foundation and Performing Arts Gilbert,88289,*,*,*,*,*,*,*,*,85,81,77,62,52,45,402
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",90327,Learning Foundation and Performing Arts Warner,92235,*,37,46,51,51,54,50,57,*,*,*,*,*,*,346
2022,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",90328,Learning Foundation and Performing Arts Alta Mesa,88290,*,16,15,13,14,13,18,*,*,*,*,*,*,*,97
2022,"Skyline Gila River Schools, LLC",90329,Skyline D5,89941,*,*,*,*,*,*,11,34,28,28,41,30,25,26,223
2022,Kaizen Education Foundation dba Vista Grove Preparatory Academy Elementary,90330,Kaizen Education Foundation dba Vista Grove Preparatory Academy Elementary,89867,*,14,*,11,12,*,13,15,*,*,*,*,*,*,83
2022,CPLC Community Schools dba Hiaki High School,90331,Envision High School,87412,*,*,*,*,*,*,*,*,*,*,*,*,26,32,74
2022,Kaizen Education Foundation dba Gilbert Arts Academy,90333,Kaizen Education Foundation dba Gilbert Arts Academy,89866,*,25,23,19,26,*,20,21,20,*,*,*,*,*,171
2022,Kaizen Education Foundation dba Liberty Arts Academy,90334,Liberty Arts Academy,89868,*,46,46,37,37,36,33,40,29,26,*,*,*,*,330
2022,"St. Dominic Savio Academy, LLC",90471,St. Dominic Savio Academy,90472,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Ed Ahead,90506,Academy Adventures Midtown,90507,*,*,*,*,*,*,*,*,*,*,*,*,*,*,35
2022,"BASIS Charter Schools, Inc.",90508,BASIS Oro Valley,90509,*,*,*,*,*,*,*,124,105,114,65,70,49,47,574
2022,Anthem Preparatory Academy,90532,Great Hearts Academies - Anthem Prep,90635,*,58,55,59,60,60,60,78,79,78,62,50,47,37,783
2022,"Compass Points International, Inc",90533,Northpoint Expeditionary Learning Academy,88388,*,*,*,*,*,*,*,*,14,18,51,40,24,19,166
2022,Kaizen Education Foundation dba Havasu Preparatory Academy,90535,Havasu Preparatory Academy,91157,*,14,24,27,26,29,24,39,13,*,*,*,*,*,206
2022,Pima Prevention Partnership,90536,Arizona Collegiate High School,90907,*,*,*,*,*,*,*,*,*,*,20,24,38,60,142
2022,"South Valley Academy, Inc.",90540,South Valley Prep and Arts School,91122,*,*,*,*,*,*,60,60,70,69,*,*,*,*,259
2022,Daisy Education Corporation dba. Sonoran Science Academy Peoria,90541,Sonoran Science Academy-Peoria,90639,*,26,22,26,26,30,30,16,24,24,*,*,*,*,224
2022,Kaizen Education Foundation dba Mission Heights Preparatory High School,90548,Mission Heights Preparatory High School,91158,*,*,*,*,*,*,*,*,*,*,120,110,122,78,430
2022,Kaizen Education Foundation dba Mission Heights Preparatory High School,90548,Leona Connected High School,1001670,*,*,*,*,*,*,*,*,*,*,14,20,19,32,85
2022,Leading Edge Academy Maricopa,90637,Leading Edge Academy Maricopa,90638,*,97,94,101,100,100,102,79,71,53,*,*,*,*,797
2022,Arizona Education Solutions,90758,Astravo Online Academy,91184,*,49,77,50,43,60,72,84,113,129,*,*,*,*,677
2022,Arizona Education Solutions,90758,Astravo Online Academy,91246,*,*,*,*,*,*,*,*,*,*,144,159,121,119,543
2022,"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,*,*,*,*,*,*,*,*,*,*,122,117,95,120,454
2022,"BASIS Charter Schools, Inc.",90841,BASIS Peoria,91055,*,*,*,*,*,*,182,187,161,145,67,68,71,62,943
2022,"BASIS Charter Schools, Inc.",90842,BASIS Chandler,91056,*,*,*,*,*,*,196,212,190,176,103,87,96,90,1150
2022,Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,*,176,175,183,182,178,182,*,*,*,*,*,*,*,1076
2022,Trivium Preparatory Academy,90859,Great Hearts Academies - Trivium Prep,91156,*,*,*,*,*,*,*,162,144,149,128,112,98,108,901
2022,Maryvale Preparatory Academy,90861,Great Hearts Academies - Maryvale Prep,91781,*,111,96,109,102,87,63,64,66,51,51,41,30,28,899
2022,"BASIS Charter Schools, Inc.",90862,BASIS Flagstaff,90863,*,68,87,65,65,61,86,69,67,47,46,38,46,40,785
2022,"Institute for Transformative Education, Inc.",90876,Changemaker High School,91782,*,*,*,*,*,*,*,*,*,*,14,*,*,12,43
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,*,88,82,54,61,67,59,57,50,51,*,*,*,*,569
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Desert Sky,911531,*,121,130,163,160,132,126,163,145,152,*,*,*,*,1292
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Peoria Advanced,1000118,*,132,139,89,87,68,62,46,43,55,*,*,*,*,721
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Glendale,1000119,*,145,193,179,151,135,112,130,117,83,*,*,*,*,1245
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science Avondale,1000378,*,92,184,120,125,126,111,125,98,90,*,*,*,*,1071
2022,"Academy of Mathematics and Science South, Inc.",90878,Academy of Math and Science South Mountain,1000379,*,29,153,91,92,93,91,90,108,56,*,*,*,*,803
2022,North Phoenix Preparatory Academy,90879,Great Hearts Academies - North Phoenix Prep,91422,*,*,*,*,*,*,*,*,124,118,83,63,54,42,484
2022,"George Gervin Youth Center, Inc.",90884,George Gervin Prep Academy,91712,*,23,19,26,19,15,*,21,14,23,*,*,*,*,170
2022,Ball Charter Schools (Val Vista),90885,Ball Charter Schools (Val Vista),91791,*,54,42,47,44,45,37,48,44,45,*,*,*,*,406
2022,"La Tierra Community School, Inc",90900,La Tierra Community School,91151,*,16,17,15,11,11,18,*,*,*,*,*,*,*,101
2022,Happy Valley East,90906,Happy Valley School East Campus,91818,*,78,81,77,78,71,65,59,*,*,*,*,*,*,509
2022,Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,*,87,88,90,91,89,86,*,*,*,*,*,*,*,531
