Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
2022,Arizona,,,,17777,79187,78956,82114,81993,81916,83052,83998,87888,91559,94644,90386,86179,92918,*
2022,St Johns Unified District,4153,Coronado Elementary School,4517,*,68,71,58,71,*,*,*,*,*,*,*,*,*,270
2022,St Johns Unified District,4153,St Johns Middle School,4710,*,*,*,*,*,60,67,80,69,69,*,*,*,*,345
2022,St Johns Unified District,4153,St Johns High School,4711,*,*,*,*,*,*,*,*,*,*,93,80,76,53,302
2022,St Johns Unified District,4153,St. Johns Learning Center,89607,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13
2022,Window Rock Unified District,4154,Integrated Preschool,4713,18,*,*,*,*,*,*,*,*,*,*,*,*,*,18
2022,Window Rock Unified District,4154,Tsehootsooi Intermediate Learning Center,4714,*,*,*,*,*,91,116,108,*,*,*,*,*,*,315
2022,Window Rock Unified District,4154,Tsehootsooi Primary Learning Center,4715,*,92,115,86,91,*,*,*,*,*,*,*,*,*,384
2022,Window Rock Unified District,4154,Tsehootsooi Middle School,4716,*,*,*,*,*,*,*,*,126,155,*,*,*,*,281
2022,Window Rock Unified District,4154,Window Rock High School,4717,*,*,*,*,*,*,*,*,*,*,134,157,159,162,612
2022,Window Rock Unified District,4154,Tsehootsooi Dine Bi'Olta,85882,*,15,*,14,13,13,*,11,*,*,*,*,*,*,85
2022,Round Valley Unified District,4155,Round Valley Elementary School,4719,25,121,87,100,89,103,*,*,*,*,*,*,*,*,525
2022,Round Valley Unified District,4155,Round Valley Middle School,4720,*,*,*,*,*,*,122,100,112,99,*,*,*,*,433
2022,Round Valley Unified District,4155,Round Valley High School,4721,*,*,*,*,*,*,*,*,*,*,115,119,88,90,412
2022,Round Valley Unified District,4155,Round Valley AOI,92686,*,*,*,*,*,*,*,*,*,*,*,*,13,*,31
2022,Sanders Unified District,4156,Sanders Elementary School,4722,*,35,35,38,35,38,62,*,*,*,*,*,*,*,252
2022,Sanders Unified District,4156,Sanders Middle School,4723,*,*,*,*,*,*,*,36,62,54,*,*,*,*,152
2022,Sanders Unified District,4156,Valley High School,4724,*,*,*,*,*,*,*,*,*,*,57,39,40,61,197
2022,Sanders Unified District,4156,Lichíí’ Deezh’áhí Learning Academy,1001188,*,*,*,*,*,*,*,*,*,*,*,*,*,*,48
2022,Ganado Unified School District,4157,Ganado Primary School,4725,*,67,66,70,*,*,*,*,*,*,*,*,*,*,205
2022,Ganado Unified School District,4157,Ganado Intermediate School,4726,*,*,*,*,40,58,57,*,*,*,*,*,*,*,155
2022,Ganado Unified School District,4157,Ganado Middle School,4727,*,*,*,*,*,*,*,76,117,103,*,*,*,*,296
2022,Ganado Unified School District,4157,Ganado High School,4728,*,*,*,*,*,*,*,*,*,*,97,103,107,100,407
2022,Chinle Unified District,4158,Chinle Junior High School,4731,*,*,*,*,*,*,*,*,149,128,*,*,*,*,277
2022,Chinle Unified District,4158,Chinle Elementary School,4732,*,41,49,58,38,51,54,45,*,*,*,*,*,*,344
2022,Chinle Unified District,4158,Canyon De Chelly Elementary School,4733,*,26,31,30,22,28,34,36,*,*,*,*,*,*,207
2022,Chinle Unified District,4158,Many Farms Elementary School,4734,*,20,27,17,23,22,28,31,22,21,*,*,*,*,211
2022,Chinle Unified District,4158,Tsaile Elementary School,4735,*,32,17,34,33,23,20,22,38,34,*,*,*,*,253
2022,Chinle Unified District,4158,Mesa View Elementary,4736,*,29,21,37,31,27,34,38,*,*,*,*,*,*,217
2022,Chinle Unified District,4158,Chinle High School,4737,*,*,*,*,*,*,*,*,*,*,134,176,177,221,708
2022,Chinle Unified District,4158,Hozho Online Academy,1001800,*,96,74,86,106,84,74,73,73,59,42,49,49,80,945
2022,Red Mesa Unified District,4159,Red Mesa Elementary School,4738,*,25,21,11,22,22,26,*,*,*,*,*,*,*,128
2022,Red Mesa Unified District,4159,Round Rock Elementary School,4739,*,*,13,*,14,11,*,*,*,*,*,*,*,*,68
2022,Red Mesa Unified District,4159,Red Mesa Junior High School,4740,*,*,*,*,*,*,*,21,24,28,*,*,*,*,73
2022,Red Mesa Unified District,4159,Red Mesa High School,4741,*,*,*,*,*,*,*,*,*,*,40,51,47,30,168
2022,Red Mesa Unified District,4159,Red Valley/Cove High School,88386,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14
2022,Concho Elementary District,4160,Concho Elementary School,4742,12,21,16,19,18,14,15,18,14,25,*,*,*,*,172
2022,Alpine Elementary District,4161,Alpine Elementary School,4743,*,*,*,*,*,*,*,*,*,*,*,*,*,*,55
2022,Vernon Elementary District,4162,Vernon Elementary School,4744,*,13,*,14,14,*,16,*,12,13,*,*,*,*,110
2022,Mcnary Elementary District,4163,Mcnary Elementary School,4745,*,13,11,12,*,*,14,18,11,19,*,*,*,*,118
2022,Fort Huachuca Accommodation District,4167,Colonel Johnston Elementary School,4747,*,101,103,104,*,*,*,*,*,*,*,*,*,*,316
2022,Fort Huachuca Accommodation District,4167,Colonel Smith Middle School,4748,*,*,*,*,*,*,*,82,87,84,*,*,*,*,253
2022,Fort Huachuca Accommodation District,4167,General Myer Elementary School,5982,*,*,*,*,109,95,90,*,*,*,*,*,*,*,294
2022,Tombstone Unified District,4168,Huachuca City School,4749,*,35,37,35,35,20,28,22,23,30,*,*,*,*,273
2022,Tombstone Unified District,4168,Walter J Meyer School,4750,*,15,12,12,14,17,22,17,25,20,*,*,*,*,154
2022,Tombstone Unified District,4168,Tombstone High School,4751,*,*,*,*,*,*,*,*,*,*,155,125,94,77,451
2022,Bisbee Unified District,4169,Greenway Primary School,4752,*,29,29,25,32,37,35,*,*,*,*,*,*,*,187
2022,Bisbee Unified District,4169,Lowell School,4753,*,*,*,*,*,*,*,37,38,50,*,*,*,*,125
2022,Bisbee Unified District,4169,Bisbee High School,4754,*,*,*,*,*,*,*,*,*,*,91,77,85,69,322
2022,Bisbee Unified District,4169,Copper Credits,1000301,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Willcox Unified District,4170,Willcox Elementary School,4755,15,75,82,65,59,81,*,*,*,*,*,*,*,*,377
2022,Willcox Unified District,4170,Willcox Middle School,4756,*,*,*,*,*,*,68,71,78,90,*,*,*,*,307
2022,Willcox Unified District,4170,Willcox High School,4757,*,*,*,*,*,*,*,*,*,*,103,89,94,88,374
2022,Bowie Unified District,4171,Bowie Elementary School,4758,*,*,*,*,*,*,*,*,*,*,*,*,*,*,35
2022,Bowie Unified District,4171,Bowie High School,4759,*,*,*,*,*,*,*,*,*,*,*,*,*,*,24
2022,San Simon Unified District,4172,San Simon School,4760,*,*,*,*,15,*,11,16,*,12,11,*,*,*,114
2022,St David Unified District,4173,St David Elementary School,4761,16,36,23,33,35,29,25,26,33,37,*,*,*,*,293
2022,St David Unified District,4173,St David High School,4762,*,*,*,*,*,*,*,*,*,*,30,27,25,24,106
2022,Douglas Unified District,4174,Clawson School,4765,24,50,49,47,48,50,52,*,*,*,*,*,*,*,320
2022,Douglas Unified District,4174,Joe Carlson Elementary School,4766,20,62,60,76,72,74,65,*,*,*,*,*,*,*,429
2022,Douglas Unified District,4174,Faras Elementary School,4767,*,30,31,28,20,20,28,*,*,*,*,*,*,*,157
2022,Douglas Unified District,4174,Sarah Marley School,4768,25,34,39,48,51,43,44,*,*,*,*,*,*,*,284
2022,Douglas Unified District,4174,Stevenson Elementary School,4769,29,53,59,61,70,55,76,*,*,*,*,*,*,*,403
2022,Douglas Unified District,4174,Ray Borane Middle School,4770,*,*,*,*,*,*,*,122,138,149,*,*,*,*,409
2022,Douglas Unified District,4174,Paul H Huber Jr High School,4771,*,*,*,*,*,*,*,144,147,153,*,*,*,*,444
2022,Douglas Unified District,4174,Douglas High School,4773,*,*,*,*,*,*,*,*,*,*,464,378,318,288,1448
2022,Sierra Vista Unified District,4175,Bella Vista Elementary School,4775,*,55,46,44,45,44,39,52,*,*,*,*,*,*,325
2022,Sierra Vista Unified District,4175,Carmichael Elementary School,4776,*,50,48,48,54,41,38,43,*,*,*,*,*,*,322
2022,Sierra Vista Unified District,4175,Huachuca Mountain Elementary School,4777,*,57,44,65,64,72,59,59,*,*,*,*,*,*,420
2022,Sierra Vista Unified District,4175,Pueblo Del Sol Elementary School,4778,*,52,47,60,51,67,52,48,*,*,*,*,*,*,377
2022,Sierra Vista Unified District,4175,Town & Country Elementary School,4779,61,52,38,40,57,56,40,58,*,*,*,*,*,*,402
2022,Sierra Vista Unified District,4175,Village Meadows Elementary School,4780,*,54,46,48,68,60,65,56,*,*,*,*,*,*,397
2022,Sierra Vista Unified District,4175,Joyce Clark Middle School,4781,*,*,*,*,*,*,*,*,361,351,*,*,*,*,712
2022,Sierra Vista Unified District,4175,Buena High School,4783,*,*,*,*,*,*,*,*,*,*,532,458,452,419,1861
2022,Sierra Vista Unified District,4175,SVUSD AOI,1001827,*,*,*,*,*,*,*,*,*,*,*,*,17,25,54
2022,Naco Elementary District,4176,Naco Elementary School,4784,*,29,37,39,33,27,32,34,25,43,*,*,*,*,300
2022,Cochise Elementary District,4177,Cochise Elementary School,4785,*,*,12,*,11,*,*,*,*,15,*,*,*,*,84
2022,Apache Elementary District,4178,Apache Elementary School,4786,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,*,*,*,*,*,*,*,*,*,*,*,*,*,*,37
2022,Palominas Elementary School District 49,4180,Palominas Elementary School,4788,*,38,44,46,45,48,53,35,51,57,*,*,*,*,417
2022,Palominas Elementary School District 49,4180,Coronado Elementary School,4789,*,44,55,43,42,48,49,56,43,52,*,*,*,*,432
2022,Palominas Elementary School District 49,4180,Valley View Elementary School,78914,44,*,*,*,*,*,*,*,*,*,*,*,*,*,44
2022,McNeal Elementary District,4181,Mcneal Elementary School,4790,*,*,*,*,*,*,*,*,*,*,*,*,*,*,47
2022,Elfrida Elementary District,4185,Elfrida Elementary School,4795,*,15,*,*,12,12,*,11,12,15,*,*,*,*,100
2022,Pearce Elementary District,4186,Pearce Elementary School,4796,11,16,16,21,13,22,11,*,12,14,*,*,*,*,146
2022,Ash Creek Elementary District,4187,Ash Creek Elementary,4797,*,*,*,*,*,*,*,*,*,*,*,*,*,*,28
2022,Pomerene Elementary District,4188,Pomerene Elementary School,4798,*,16,16,19,11,*,11,11,16,*,*,*,*,*,115
2022,Valley Union High School District,4190,Valley Union High School,4800,*,*,*,*,*,*,*,*,*,*,17,27,34,29,107
2022,"Center for Academic Success, Inc.",4191,Center for Academic Success #1 - Sierra Vista 9-12,4801,*,*,*,*,*,*,*,*,*,*,28,27,32,25,112
2022,"Center for Academic Success, Inc.",4191,Center for Academic Success #2 - Douglas 9-12,4802,*,*,*,*,*,*,*,*,*,*,47,53,35,45,180
2022,"Center for Academic Success, Inc.",4191,Center for Academic Success #3 - Douglas K-4,79039,*,45,46,55,47,43,*,*,*,*,*,*,*,*,236
2022,"Center for Academic Success, Inc.",4191,Center for Academic Success #4 - Douglas 5-8,85876,*,*,*,*,*,*,46,52,53,53,*,*,*,*,204
2022,"Center for Academic Success, Inc.",4191,Center for Academic Success #5 - Sierra Vista K-8,85877,*,40,40,41,25,53,32,45,27,39,*,*,*,*,342
2022,Flagstaff Unified District,4192,Summit High School,4803,*,*,*,*,*,*,*,*,*,*,*,11,16,49,87
2022,Flagstaff Unified District,4192,Manuel DeMiguel Elementary School,4804,13,107,76,83,84,99,103,*,*,*,*,*,*,*,566
2022,Flagstaff Unified District,4192,Sturgeon Cromer Elementary School,4805,*,66,78,63,76,71,77,*,*,*,*,*,*,*,440
2022,Flagstaff Unified District,4192,Lura Kinsey Elementary School,4806,14,53,58,52,63,55,54,*,*,*,*,*,*,*,349
2022,Flagstaff Unified District,4192,Eva Marshall Elementary School,4807,*,54,66,68,67,81,67,*,*,*,*,*,*,*,403
2022,Flagstaff Unified District,4192,W F Killip Elementary School,4808,*,50,40,59,50,51,75,*,*,*,*,*,*,*,334
2022,Flagstaff Unified District,4192,Charles W Sechrist Elementary School,4811,14,68,50,75,64,62,64,*,*,*,*,*,*,*,398
2022,Flagstaff Unified District,4192,John Q Thomas Elementary School,4812,13,69,72,52,63,69,57,*,*,*,*,*,*,*,395
2022,Flagstaff Unified District,4192,Leupp Public School,4814,*,21,22,26,20,20,15,*,*,*,*,*,*,*,134
2022,Flagstaff Unified District,4192,Thomas M Knoles Elementary School,4815,14,57,69,79,66,100,74,*,*,*,*,*,*,*,460
2022,Flagstaff Unified District,4192,Mount Elden Middle School,4817,*,*,*,*,*,*,*,221,254,245,*,*,*,*,720
2022,Flagstaff Unified District,4192,Flagstaff High School,4819,*,*,*,*,*,*,*,*,*,*,450,402,455,392,1699
2022,Flagstaff Unified District,4192,Coconino High School,4820,*,*,*,*,*,*,*,*,*,*,456,384,361,351,1552
2022,Flagstaff Unified District,4192,Weitzel's Puente de Hozho Bilingual Magnet School,79665,*,75,77,69,75,64,53,*,*,*,*,*,*,*,413
2022,Flagstaff Unified District,4192,Sinagua Middle School,90191,*,*,*,*,*,*,*,332,347,378,*,*,*,*,1057
2022,Flagstaff Unified District,4192,Northern Arizona Distance Learning,230656,*,*,*,*,*,*,*,*,13,*,*,*,11,25,87
2022,Williams Unified District,4193,Williams Elementary/Middle School,4822,29,43,40,45,45,48,42,37,52,54,*,*,*,*,435
2022,Williams Unified District,4193,Williams High School,4823,*,*,*,*,*,*,*,*,*,*,74,60,59,53,246
2022,Grand Canyon Unified District,4194,Grand Canyon Elementary,4824,11,19,19,21,25,19,13,15,22,26,*,*,*,*,190
2022,Grand Canyon Unified District,4194,Grand Canyon High School,4825,*,*,*,*,*,*,*,*,*,*,16,22,27,19,84
2022,Fredonia-Moccasin Unified District,4195,Fredonia Elementary School,4826,*,12,13,17,13,17,11,13,*,*,*,*,*,*,103
2022,Fredonia-Moccasin Unified District,4195,Fredonia High School,4828,*,*,*,*,*,*,*,*,17,14,16,15,*,18,89
2022,Page Unified District,4196,Desert View Elementary Intermediate,4829,45,*,*,*,163,168,165,*,*,*,*,*,*,*,541
2022,Page Unified District,4196,Lake View Elementary Primary,4830,*,144,160,181,*,*,*,*,*,*,*,*,*,*,485
2022,Page Unified District,4196,Page Middle School,4831,*,*,*,*,*,*,*,163,203,192,*,*,*,*,558
2022,Page Unified District,4196,Page High School,4832,*,*,*,*,*,*,*,*,*,*,204,198,190,187,779
2022,Page Unified District,4196,Manson Mesa High School,92913,*,*,*,*,*,*,*,*,*,*,*,*,*,*,22
2022,Page Unified District,4196,Sage & Sand Academy,1001183,*,*,*,*,12,*,12,*,12,*,*,*,*,13,105
2022,Tuba City Unified School District #15,4197,Tuba City Elementary School,4833,25,52,64,55,70,67,68,*,*,*,*,*,*,*,401
2022,Tuba City Unified School District #15,4197,Dzil Libei Elementary School,4834,*,*,*,*,*,*,*,*,*,*,*,*,*,*,42
2022,Tuba City Unified School District #15,4197,Tsinaabaas Habitiin Elementary School,4835,*,11,*,*,*,*,*,*,*,*,*,*,*,*,37
2022,Tuba City Unified School District #15,4197,Tuba City Junior High School,4837,*,*,*,*,*,*,*,103,122,114,*,*,*,*,339
2022,Tuba City Unified School District #15,4197,Tuba City High School,4838,*,*,*,*,*,*,*,*,*,*,223,152,134,125,634
2022,Tuba City Unified School District #15,4197,Nizhoni Accelerated Academy,78916,*,*,*,*,*,*,*,*,*,*,*,*,*,15,25
2022,Maine Consolidated School District,4199,Maine Consolidated School,4839,11,15,15,12,17,13,13,*,12,*,*,*,*,*,124
2022,"Pine Forest Education Association, Inc.",4201,Pine Forest School,4841,*,23,17,16,22,18,25,18,19,15,*,*,*,*,173
2022,Flagstaff Arts And Leadership Academy,4202,Flagstaff Arts And Leadership Academy,4842,*,*,*,*,*,*,*,38,47,51,49,39,36,27,287
2022,"Mountain School, Inc.",4203,Mountain School,4843,*,34,33,28,26,31,27,*,*,*,*,*,*,*,179
2022,Northland Preparatory Academy,4204,Northland Preparatory Academy,4845,*,*,*,*,*,*,*,104,102,102,86,84,68,63,609
2022,"Flagstaff Montessori, L.L.C.",4205,Montessori Charter School of Flagstaff - Campus,4849,*,20,24,25,19,14,20,12,*,*,*,*,*,*,154
2022,Flagstaff Junior Academy,4207,Flagstaff Junior Academy,4851,*,20,21,28,23,28,41,41,45,42,*,*,*,*,289
2022,Globe Unified District,4208,Copper Rim Elementary School,4854,71,106,87,110,91,102,117,*,*,*,*,*,*,*,684
2022,Globe Unified District,4208,Globe High School,4855,*,*,*,*,*,*,*,*,*,*,146,130,112,132,520
2022,Globe Unified District,4208,High Desert Middle School,85831,*,*,*,*,*,*,*,110,137,115,*,*,*,*,362
2022,Globe Unified District,4208,Tiger Knowledge Online (TKO),1001828,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18
2022,Payson Unified District,4209,Rim Country Middle School,4856,*,*,*,*,*,*,*,164,186,217,*,*,*,*,567
2022,Payson Unified District,4209,Julia Randall Elementary School,4857,35,*,*,53,183,148,132,*,*,*,*,*,*,*,551
2022,Payson Unified District,4209,Payson Elementary School,4858,*,156,164,101,*,*,*,*,*,*,*,*,*,*,421
2022,Payson Unified District,4209,Payson High School,4860,*,*,*,*,*,*,*,*,*,*,230,182,184,201,797
2022,San Carlos Unified District,4210,San Carlos High School,4863,*,*,*,*,*,*,*,*,*,*,103,81,87,71,342
2022,San Carlos Unified District,4210,Rice Elementary School,5989,19,86,94,101,82,107,88,*,*,*,*,*,*,*,577
2022,San Carlos Unified District,4210,San Carlos Alternative High School,89776,*,*,*,*,*,*,*,*,*,*,*,*,19,46,71
2022,San Carlos Unified District,4210,San Carlos Middle School,1000382,*,*,*,*,*,*,*,122,130,121,*,*,*,*,373
2022,Miami Unified District,4211,Lee Kornegay Intermediate School,4868,*,*,*,*,61,75,80,*,*,*,*,*,*,*,216
2022,Miami Unified District,4211,Miami Junior Senior High School,4869,*,*,*,*,*,*,*,68,78,72,76,68,73,56,491
2022,Miami Unified District,4211,Dr. Charles A. Bejarano Elementary School,81122,*,73,62,64,*,*,*,*,*,*,*,*,*,*,199
2022,Miami Unified District,4211,M.U.S.D. #40 - Little Vandal Preschool,89583,34,*,*,*,*,*,*,*,*,*,*,*,*,*,34
2022,Miami Unified District,4211,Miami Virtual Program,1001177,*,59,67,56,61,67,65,71,64,59,49,47,32,*,698
2022,Hayden-Winkelman Unified District,4212,Leonor Hambly K-8,4870,16,18,15,25,24,21,19,21,23,20,*,*,*,*,202
2022,Hayden-Winkelman Unified District,4212,Hayden High School,4873,*,*,*,*,*,*,*,*,*,*,19,15,34,21,89
2022,Young Elementary District,4213,Young Elementary School,4874,*,*,*,*,*,*,*,*,*,*,*,*,*,*,41
2022,Young Elementary District,4213,Young High School,4875,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13
2022,Pine Strawberry Elementary District,4214,Pine Strawberry Elementary School,4876,*,*,*,*,12,*,*,18,11,*,*,*,*,*,98
2022,Tonto Basin Elementary District,4215,Tonto Basin Elementary,4877,*,*,*,14,*,*,14,*,*,*,*,*,*,*,77
2022,Liberty High School,4216,Liberty High School,4878,*,*,*,*,*,*,*,*,*,*,13,*,13,22,67
2022,Graham County Special Services,4217,Dan Hinton Accommodation School,4879,68,11,*,*,*,*,*,*,*,*,*,*,*,*,108
2022,Safford Unified District,4218,Dorothy Stinson School,4881,*,98,74,78,75,79,77,79,*,*,*,*,*,*,560
2022,Safford Unified District,4218,Lafe Nelson School,4882,*,76,81,80,57,47,56,50,*,*,*,*,*,*,447
2022,Safford Unified District,4218,Safford Middle School,4883,*,*,*,*,*,*,*,*,240,242,*,*,*,*,482
2022,Safford Unified District,4218,Safford High School,4884,*,*,*,*,*,*,*,*,*,*,234,221,169,154,778
2022,Safford Unified District,4218,Mt Graham High School,4885,*,*,*,*,*,*,*,*,*,*,*,25,24,20,72
2022,Safford Unified District,4218,Ruth Powell Elementary School,79780,57,79,82,77,68,51,55,77,*,*,*,*,*,*,546
2022,Safford Unified District,4218,Henry Dunkerson Pathways Academy,216045,*,*,*,*,*,*,*,*,*,*,*,11,17,14,44
2022,Thatcher Unified District,4219,Jack Daley Primary School,4886,*,133,139,129,*,*,*,*,*,*,*,*,*,*,401
2022,Thatcher Unified District,4219,Thatcher Elementary School,4887,*,*,*,*,130,119,157,155,*,*,*,*,*,*,561
2022,Thatcher Unified District,4219,Thatcher Middle School,4888,*,*,*,*,*,*,*,*,134,157,*,*,*,*,291
2022,Thatcher Unified District,4219,Thatcher High School,4889,*,*,*,*,*,*,*,*,*,*,153,137,139,129,558
2022,Thatcher Unified District,4219,Eagle Online Academy,1001768,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14
2022,Pima Unified District,4220,Pima Elementary School,4890,*,68,59,77,75,64,76,100,*,*,*,*,*,*,519
2022,Pima Unified District,4220,Pima High School,4891,*,*,*,*,*,*,*,*,*,*,90,95,73,72,330
2022,Pima Unified District,4220,Pima Junior High School,81056,*,*,*,*,*,*,*,*,95,91,*,*,*,*,186
2022,Pima Unified District,4220,Gila Valley Learning Center,92296,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
2022,Fort Thomas Unified District,4221,Fort Thomas Elementary School,4892,*,33,31,28,34,28,34,29,*,*,*,*,*,*,217
2022,Fort Thomas Unified District,4221,Fort Thomas High School,4893,*,*,*,*,*,*,*,*,51,65,47,24,32,24,243
2022,Fort Thomas Unified District,4221,Mt. Turnbull Academy,90064,*,*,*,*,*,*,*,*,*,*,*,*,*,*,27
2022,Fort Thomas Unified District,4221,Mt. Turnbull Elementary School,92618,*,22,18,17,18,18,16,16,*,*,*,*,*,*,125
2022,Solomon Elementary District,4222,Solomon Elementary School,4894,14,26,15,14,11,24,23,20,20,21,*,*,*,*,188
2022,Bonita Elementary District,4224,Bonita Elementary School,4896,*,13,*,*,13,15,*,13,14,*,*,*,*,*,99
2022,Triumphant Learning Center,4225,Triumphant Learning Center,4897,*,12,*,13,12,12,*,*,*,*,*,*,*,*,93
2022,Duncan Unified District,4228,Duncan Elementary,4902,*,28,32,24,19,34,25,21,37,41,*,*,*,*,264
2022,Duncan Unified District,4228,Duncan High School,4903,*,*,*,*,*,*,*,*,*,*,36,29,28,26,119
2022,Morenci Unified District,4230,Morenci High School,4906,*,*,*,*,*,*,*,*,*,*,92,92,90,73,347
2022,Morenci Unified District,4230,Metcalf Elementary School,4907,140,130,125,122,108,102,*,*,*,*,*,*,*,*,727
2022,Morenci Unified District,4230,Fairbanks Middle School,92081,*,*,*,*,*,*,88,107,105,102,*,*,*,*,402
2022,Maricopa County Regional School District,4234,Esperanza Prep,549878,*,*,*,*,*,13,*,11,11,15,*,*,*,*,85
2022,Maricopa County Regional School District,4234,Hope College and Career Readiness Academy,969999,*,*,*,*,*,*,*,*,*,*,*,*,14,25,56
2022,Mesa Unified District,4235,Adams Elementary School,4913,45,85,81,90,87,86,76,66,*,*,*,*,*,*,616
2022,Mesa Unified District,4235,Edison Elementary School,4915,22,79,87,68,75,79,88,89,*,*,*,*,*,*,588
2022,Mesa Unified District,4235,Emerson Elementary School,4916,19,85,119,107,96,99,93,107,*,*,*,*,*,*,725
2022,Mesa Unified District,4235,Franklin East Elementary School,4917,*,94,82,98,82,85,72,92,*,*,*,*,*,*,607
2022,Mesa Unified District,4235,Michael T. Hughes Elementary School,4918,24,63,64,64,49,51,59,76,*,*,*,*,*,*,456
2022,Mesa Unified District,4235,Holmes Elementary School,4919,36,71,76,75,65,86,75,85,*,*,*,*,*,*,571
2022,Mesa Unified District,4235,Irving Elementary School,4920,37,54,68,64,76,53,53,66,*,*,*,*,*,*,471
2022,Mesa Unified District,4235,Jefferson Elementary School,4921,45,62,58,56,73,60,73,68,*,*,*,*,*,*,495
2022,Mesa Unified District,4235,Lehi Elementary School,4922,23,51,51,55,48,52,50,60,*,*,*,*,*,*,392
2022,Mesa Unified District,4235,Lincoln Elementary School,4923,43,74,89,87,85,88,87,95,*,*,*,*,*,*,649
2022,Mesa Unified District,4235,Longfellow Elementary School,4924,31,49,60,56,68,50,55,67,*,*,*,*,*,*,437
2022,Mesa Unified District,4235,Lowell Elementary School,4925,*,61,46,49,56,55,65,55,*,*,*,*,*,*,388
2022,Mesa Unified District,4235,Franklin West Elementary,4926,*,67,58,62,66,69,56,69,*,*,*,*,*,*,447
2022,Mesa Unified District,4235,Webster Elementary School,4927,48,85,83,79,62,94,91,89,*,*,*,*,*,*,634
2022,Mesa Unified District,4235,Whittier Elementary School,4928,68,60,55,60,51,73,61,56,*,*,*,*,*,*,486
2022,Mesa Unified District,4235,Whitman Elementary School,4929,22,87,80,70,102,88,79,88,*,*,*,*,*,*,618
2022,Mesa Unified District,4235,Taft Elementary School,4930,27,63,72,78,63,70,65,78,*,*,*,*,*,*,516
2022,Mesa Unified District,4235,Hale Elementary School,4931,*,52,62,65,74,58,78,76,*,*,*,*,*,*,465
2022,Mesa Unified District,4235,Eisenhower Center for Innovation,4932,21,58,62,86,64,66,63,62,*,*,*,*,*,*,482
2022,Mesa Unified District,4235,Roosevelt Elementary School,4933,12,79,69,69,70,70,79,82,*,*,*,*,*,*,532
2022,Mesa Unified District,4235,Lindbergh Elementary School,4934,23,81,61,57,75,68,73,71,*,*,*,*,*,*,509
2022,Mesa Unified District,4235,Redbird Elementary School,4935,*,72,69,63,63,72,68,63,*,*,*,*,*,*,471
2022,Mesa Unified District,4235,Salk Elementary School,4936,23,81,68,71,64,77,79,79,*,*,*,*,*,*,543
2022,Mesa Unified District,4235,Field Elementary School,4937,*,69,74,75,87,86,79,90,*,*,*,*,*,*,564
2022,Mesa Unified District,4235,Washington Elementary School,4938,39,57,63,56,62,64,73,54,*,*,*,*,*,*,468
2022,Mesa Unified District,4235,Stevenson Elementary School,4939,24,72,81,74,77,85,95,94,*,*,*,*,*,*,603
2022,Mesa Unified District,4235,Keller Elementary School,4940,80,68,66,60,65,65,64,61,*,*,*,*,*,*,529
2022,Mesa Unified District,4235,MacArthur Elementary School,4941,*,66,76,86,74,81,82,77,*,*,*,*,*,*,542
2022,Mesa Unified District,4235,Pomeroy Elementary School,4943,20,78,77,71,81,82,76,83,*,*,*,*,*,*,568
2022,Mesa Unified District,4235,Highland Elementary School,4944,*,86,104,119,102,115,99,93,*,*,*,*,*,*,718
2022,Mesa Unified District,4235,Crismon Elementary School,4945,*,54,66,64,62,58,61,54,*,*,*,*,*,*,419
2022,Mesa Unified District,4235,Robson Elementary School,4946,*,70,53,62,58,75,85,82,*,*,*,*,*,*,485
2022,Mesa Unified District,4235,Sirrine Elementary School,4947,13,51,40,46,49,40,44,55,*,*,*,*,*,*,338
2022,Mesa Unified District,4235,Johnson Elementary School,4948,73,77,84,68,84,70,78,60,*,*,*,*,*,*,595
2022,Mesa Unified District,4235,O'Connor Elementary School,4949,51,67,57,42,43,69,58,46,*,*,*,*,*,*,434
2022,Mesa Unified District,4235,Mendoza Elementary School,4951,*,62,57,79,56,59,58,63,*,*,*,*,*,*,435
2022,Mesa Unified District,4235,Ishikawa Elementary School,4952,*,109,119,105,110,126,104,110,*,*,*,*,*,*,783
2022,Mesa Unified District,4235,Madison Elementary School,4953,*,62,57,53,58,57,49,64,*,*,*,*,*,*,403
2022,Mesa Unified District,4235,Sousa Elementary School,4954,*,48,56,49,60,63,49,82,*,*,*,*,*,*,413
2022,Mesa Unified District,4235,Hermosa Vista Elementary School,4955,24,85,88,96,108,89,72,84,*,*,*,*,*,*,646
2022,Mesa Unified District,4235,Falcon Hill Elementary School,4956,27,54,56,68,87,58,66,78,*,*,*,*,*,*,500
2022,Mesa Unified District,4235,Porter Elementary School,4957,21,80,52,67,67,61,52,65,*,*,*,*,*,*,467
